lncRNA	sm	p1	p2	reg	reg.1
LINC02395	6918837	0.48631248	0.5136875	1.0	0.0
lnc-MESD-1	6918837	0.40172458	0.5982754	0.0	1.0
lnc-ADCYAP1-2	6918837	0.4613152	0.53868484	0.0	1.0
lnc-USP35-7	6918837	0.40208554	0.59791446	1.0	0.0
lnc-KLHL25-6	6918837	0.4796049	0.5203951	1.0	0.0
lnc-DEXI-1	6918837	0.45389208	0.5461079	1.0	0.0
lnc-UBE2N-3	6918837	0.45694903	0.54305094	1.0	0.0
lnc-MRPL3-2	6918837	0.45603484	0.54396516	0.0	1.0
lnc-FIG4-1	6918837	0.427103	0.57289696	0.0	1.0
lnc-LAMB3-1	6918837	0.4584618	0.54153824	1.0	0.0
lnc-IRF2BP2-1	6918837	0.45756805	0.54243195	0.0	1.0
lnc-CXCL16-1	6918837	0.47891074	0.5210893	1.0	0.0
lnc-ASB13-2	6918837	0.41736978	0.58263016	1.0	0.0
lnc-TTC8-4	6918837	0.4460408	0.55395925	0.0	1.0
lnc-RFC3-2	6918837	0.48792803	0.51207197	1.0	0.0
lnc-MEP1B-5	6918837	0.43647623	0.56352377	1.0	0.0
TTTY4	6918837	0.40520075	0.5947993	0.0	1.0
lnc-PARN-8	6918837	0.49639943	0.50360054	1.0	0.0
ZNF630-AS1	6918837	0.4859025	0.5140975	0.0	1.0
